profileAuthPreFilter,,/profile/user,/api/profile/user.*||,,false,"CORSHeadersFilter",AUTH,PROFILES,1pprofiles.1p.prod1.prod
igroverviewPreFilter,,/overview,/api/igr/overview.*||,,false,,AUTH,IGROVERVIEW,IGROVERVIEW.1p.prod1.prod
igrsearchPingPreFilter,,/ping,/api/igr/overview/ping||,,false,,AUTH,IGROVERVIEW,IGROVERVIEW.1p.prod1.prod
cmcapiPreFilter,,/,/api/cmc/services.*||,,false,,AUTH,CMCAPI,cmcapi.1p.prod1.prod
cmcguiPreFilter,/cmc,/,/cmc||/cmc/.*||,,false,,NOVALIDATE,CMC_GUI,cmcgui.1p.prod1.prod
jprofPublicPrefilter,/api/jprof/public,/journal-profile/public,/api/jprof/public.*||,,false,,NOVALIDATE,journalprofile,journalprofile.scholarone.prod1.prod
jprofRestrictedPrefilter,/api/jprof/restricted,/journal-profile/restricted,/api/jprof/restricted.*||,,false,,AUTH,journalprofile,journalprofile.scholarone.prod1.prod
wosAuthorRecommendForWoSRRC,,/author,/api/rrc/author/.*||,,false,"wosRRCSessionServicePROD",NOVALIDATE,WOSAUTHORRECOMMEND,wosauthorrecommend.1p.prod1.prod
wosAuthorRecommendForCuration,,/author,/api/curation/author/.*||,,false,,NOAUTH,WOSAUTHORRECOMMEND,wosauthorrecommend.1p.prod1.prod
watFrontendPreFilter,/author,/,/author.*||,,false,,NOVALIDATE,WAT_FRONTEND,watfrontend.1p.prod1.prod
draiopFrontendPreFilter,/dra,/,/dra||/dra/.*||,,false,,NOVALIDATE,DRAIOP_FRONTEND,draiopgui.1p.prod1.prod
bridgeService,,/bridge,/api/bridge.*||,,false,,AUTH,BRIDGECLIENT,1pappbridge.1p.prod1.prod
mediaServiceNoValidate,/api/media,/media,/api/media.*||,,false,,NOVALIDATE,MEDIA,1pmedia.1p.prod1.prod
psaPreFilter,/psa,/,/psa.*||,,false,,NOVALIDATE,1P_ADMIN_UI,1padminui.1p.prod1.prod
wosRRCSessionServicePROD,,,,,false,,PASSTHRU,,
entitlements,,/entitlements,/api/entitlements.*||,,false,"CORSHeadersFilter",AUTH,ENT,1PENTITLEMENTS.1p.prod1.prod
censubPublicPrefilter,/api/censub/public,/central-submission/public,/api/censub/public.*||,,false,,NOVALIDATE,centralsubmission,centralsubmission.scholarone.prod1.prod
wppuiPreFilter,/wpp,/,/wpp.*||,,false,,NOVALIDATE,WPP_UI,wppui.scholarone.prod1.prod
pubportaluiPreFilter,/publisherportal,/,/publisherportal.*||,,false,,NOVALIDATE,WPP_UI,wppui.scholarone.prod1.prod
zuulStatsPreFilter,,/zuulStats,/api/zuulStats.*||,,false,,PASSTHRU,,
errorObservabilityStatsPreFilter,,/errorStats,/api/errorStats.*||,,false,,PASSTHRU,,
1pcachePreFilter,/api/cache/igr,/,/api/cache/igr.*||,,false,,NOVALIDATE,1PCACHE,1pcache.1p.prod1.prod
linksentPreFilter,/linksent,/,/linksent.*||,,true,,NOVALIDATE,LINKSENT_FRONTEND,1plinksentitlementsui.1p.prod1.prod
cdditablePreFilter,,/table,/api/cddi/table.*||,,false,,AUTH,CDDITABLE,CDDITABLE.1p.prod1.prod
igrentityPreFilter,,/entity,/api/igr/entity.*||,,false,,AUTH,IGRENTITY,IGRENTITY.1p.prod1.prod
mjlbetauiPreFilter,/mjl-beta,/,/mjl-beta.*||,,false,,NOVALIDATE,CENSUB_FRONTEND,censubui.scholarone.prod1.prod
