cddi-gui-api,clarivate.com,/,/drugdiscovery,null,TRUE,eureka-router,igrgui.{CLOUD_STACK}.{CLOUD_DEV_PHASE}.{CLOUD_ENVIRONMENT}
matcher-internal-api,clarivate.com,/,/internal/api/matcher,null,FALSE,acl||eureka-router||key-auth||url-replace,1pmanumatcher.{CLOUD_STACK}.{CLOUD_DEV_PHASE}.{CLOUD_ENVIRONMENT}
cortellis-dealsanalytics-app,clarivate.com,/,/cortellis/dealsanalytics,null,TRUE,eureka-router,cortellisdealsanalyticsapp.cortellis.{CLOUD_DEV_PHASE}.{CLOUD_ENVIRONMENT}
igr-entity-api,clarivate.com,/,/apiv2/igr/entity,null,FALSE,eureka-router||jwt||url-replace,igrentity.{CLOUD_STACK}.{CLOUD_DEV_PHASE}.{CLOUD_ENVIRONMENT}
dra-td-entity,clarivate.com,/,"/api/dra-td/healthcheck||""/api/dra/analytics/aggregations""||""/api/dra/analytics/entity/decorator""||""/api/dra/analytics/graphic""||""/api/dra/analytics/related/entities""",null,FALSE,auth-extensions||eureka-router||jwt||url-replace,dratdentity.dra.{CLOUD_DEV_PHASE}.{CLOUD_ENVIRONMENT}
test-jcr-session,mockbin.org,/,/myorg/session/validate,null,TRUE,session-validation,null
dra-td-gui-services,clarivate.com,/,/api/dra/td/gui/services,null,FALSE,auth-extensions||eureka-router||jwt||url-replace,dratdguiservices.dra.{CLOUD_DEV_PHASE}.{CLOUD_ENVIRONMENT}
rrc-feedback,clarivate.com,/researcher,/api/researcher,null,TRUE,acl||custom-key-headers||eureka-router||key-auth,wosauthorxform.{CLOUD_STACK}.{CLOUD_DEV_PHASE}.{CLOUD_ENVIRONMENT}
portal-api,portal-wicked.snapshot.dev.oneplatform.build,/,/wicked/v1,null,TRUE,acl||correlation-id||oauth2,null
mockbinoauth,mockbin.org,/,/headers,null,FALSE,acl||oauth2||rate-limiting,null
cdx-seed-api,clarivate.com,/,/cdx,null,TRUE,eureka-router,cdxseed.{CLOUD_STACK}.{CLOUD_DEV_PHASE}.{CLOUD_ENVIRONMENT}
singularity-user-profiles-api,user-profiles-common.dev.singularity.clarivate.com,/,/cc-user-profiles-service,null,FALSE,jwt,null
wosrl-publons-proxy,wosrl-snapshot.publons.com,/,"/wosrl/api/lookup||""/wosrl/api/search""",null,TRUE,url-replace,null
compumark-content,cmapi-acpt.eks.apps.acc.compumark.com,/,/compumark-content/api/v1(?!/user-config|/cache|/actuator),null,TRUE,acl||cors||custom-key-headers||key-auth||rate-limiting,null
central-submission-restricted-api,clarivate.com,/,/api/censub/restricted,null,FALSE,eureka-router||jwt||url-replace,centralsubmission.scholarone.{CLOUD_DEV_PHASE}.{CLOUD_ENVIRONMENT}
ip-cloud-service,qa-cloud.clarivate.com.s3-website-us-west-2.amazonaws.com,/,"/5g-sep-analyzer||""/chemistry-research""||""/examiner-search""",null,FALSE,null,null
horizon-ui,clarivate.com,/,/horizon,null,TRUE,eureka-router,horizonfrontend.horizon.{CLOUD_DEV_PHASE}.{CLOUD_ENVIRONMENT}
platform-admin-ui,clarivate.com,/,/psa,null,TRUE,eureka-router,1padminui.{CLOUD_STACK}.{CLOUD_DEV_PHASE}.{CLOUD_ENVIRONMENT}
enwservices,zuulinside-snapshot.dev.oneplatform.build,/,/somedummyservice,null,FALSE,acl||custom-key-headers||key-auth,null
incites-jcr-fe-journal-profile-page,clarivate.com,/,/jcr-jp,null,FALSE,eureka-router,incitesjcr3fejournalprofilepage.wos.{CLOUD_DEV_PHASE}.{CLOUD_ENVIRONMENT}
cortellis_frontend,clarivate.com,/,/intelligence/suite,null,TRUE,eureka-router,cortellisfrontend.cortellis.perf.dev
rics,rics-api-int.dev-snapshot.cc.clarivate.com,/,/api,"rics-api.dev-snapshot.cc.clarivate.com||""rics.dev-snapshot.cc.clarivate.com""",FALSE,cors||jwt,null
cmc-api,clarivate.com,/,/api/cmc/services,null,FALSE,eureka-router||jwt,cmcapi.{CLOUD_STACK}.{CLOUD_DEV_PHASE}.{CLOUD_ENVIRONMENT}
mra-public-api,clarivate.com,/,/api/mra/public/.*,null,FALSE,eureka-router||url-replace,mraservice.scholarone.{CLOUD_DEV_PHASE}.{CLOUD_ENVIRONMENT}
websockets,echo.websocket.org,/,/api/websockets,null,TRUE,acl||key-auth,null
mws-bridge-api,clarivate.com,/,/api/wosnx/rrc/bridge/mws/.*,null,FALSE,eureka-router||url-replace,1pmwsbridge.{CLOUD_STACK}.{CLOUD_DEV_PHASE}.{CLOUD_ENVIRONMENT}
echo,localhost,/,/wicked-echo/v1,null,TRUE,acl||correlation-id||oauth2,null
journal-profile-api,clarivate.com,/,/api/jprof/public,null,FALSE,eureka-router||url-replace,journalprofile.scholarone.{CLOUD_DEV_PHASE}.{CLOUD_ENVIRONMENT}
wos-nx-publication-typeahead,ac-uw2.int1.dev-wos.com,/AC/autoComplete.do,/api/wosnx/typeahead/publications,null,TRUE,null,null
singularity-product-master-drug-api,prod-drug-master-common.dev.singularity.clarivate.com,/,/drug_master,null,FALSE,jwt,null
models,clarivate.com,/,/api/models,null,TRUE,acl||eureka-router||key-auth,1pmodels.{CLOUD_STACK}.{CLOUD_DEV_PHASE}.{CLOUD_ENVIRONMENT}
cors-test,mockbin.org,/request,/cors-test,null,TRUE,cors,null
rics-triage-ui,triage-ui-int.dev-snapshot.cc.clarivate.com,/,/,triage-ui.dev-snapshot.cc.clarivate.com,FALSE,cors,null
