wos-author-recommend-curation,clarivate.com,/,"/api/curation/author/.*",null,false,eureka-router||url-replace,wosauthorrecommend.{CLOUD_STACK}.{CLOUD_DEV_PHASE}.{CLOUD_ENVIRONMENT}
wat-frontend,clarivate.com,/,"/author",null,true,eureka-router,watfrontend.{CLOUD_STACK}.{CLOUD_DEV_PHASE}.{CLOUD_ENVIRONMENT}
kafka,localhost,/kafka,"/internal/kafka",null,true,null,null
static-upstream-test,clarivate.com,/request/extra/,"/static-upstream-test",null,true,acl||eureka-router||key-auth,mockbin
rics,rics-api-int.dev-stable.cc.clarivate.com,/,"/api","rics-api.dev-stable.cc.clarivate.com",false,cors||jwt,null
dra-td-exploration,clarivate.com,/,"/api/dra-td/exploration",null,false,auth-extensions||eureka-router||jwt||url-replace,dratdexploration.dra.{CLOUD_DEV_PHASE}.{CLOUD_ENVIRONMENT}
metabase-lite,clarivate.com,/,"/api/metabase-lite/v1",null,true,acl||eureka-router||oauth2,caastaxonomy.caas.{CLOUD_DEV_PHASE}.{CLOUD_ENVIRONMENT}
platform-admin-ui,clarivate.com,/,"/psa",null,true,eureka-router,1padminui.{CLOUD_STACK}.{CLOUD_DEV_PHASE}.{CLOUD_ENVIRONMENT}
singularity-deals-master-uat-api,deals-master-common.uat.singularity.clarivate.com,/,"/sing/uat/deals"||"/sing/uat/deals-master-common",null,true,cors||jwt,null
platform_profile_client,clarivate.com,/,"/api/profile/field/summary"||"/api/profile/user",null,false,eureka-router||jwt||url-replace,1pprofiles.{CLOUD_STACK}.{CLOUD_DEV_PHASE}.{CLOUD_ENVIRONMENT}
singularity-chemcur-common-euwest-uat-api,chemcur-common-euwest1.uat.singularity.clarivate.com,/,"/sing/uat/chemcur-euwest1",null,true,cors||jwt,null
singularity-deals-master-api,deals-master-common.int.singularity.clarivate.com,/,"/v1/deals",null,false,jwt,null
singularity-pharma-master-service-dev-api,pharma-master-service.dev.singularity.clarivate.com,/,"/sing/dev/pharma-master-service",null,true,cors||jwt,null
onep-container,clarivate.com,/,"/api/container/v2",null,true,eureka-router||jwt,1pcontainer.1p.{CLOUD_DEV_PHASE}.{CLOUD_ENVIRONMENT}
singularity-prod-subst-master-uat-api,prod-subst-master-common.uat.singularity.clarivate.com,/,"/sing/uat/prod-subst-master",null,true,cors||jwt,null
singularity-pub-comments-int-api,comments.dev-stable.cc.clarivate.com,/,"/sing/int/pub-comments"||"/sing/uat/pub-comments",null,true,cors||jwt,null
singularity-chem-master-dev-api,chemcur-common.dev.singularity.clarivate.com,/,"/sing/dev/chem-master",null,true,cors||jwt,null
singularity-sourcemaster-int-api,source-master-common.int.singularity.clarivate.com,/,"/sing/int/source-master",null,true,jwt,null
singularity-prod-drug-master-dev-api,prod-drug-master-common.dev.singularity.clarivate.com,/,"/sing/dev/prod-drug-master",null,true,cors||jwt,null
dra-marketing-gui,clarivate.com,/,"/marketing/dratd"||"/ui/dratd/marketing",null,false,eureka-router||request-transformer,dratdmarketingui.dra.{CLOUD_DEV_PHASE}.{CLOUD_ENVIRONMENT}
wos-jcr-jif-frontend-api,clarivate.com,/,"/jif",null,false,eureka-router,wosjcrjiffrontend.wos.{CLOUD_DEV_PHASE}.{CLOUD_ENVIRONMENT}
citation-resolution-service,clarivate.com,/,"/api/crs",null,true,acl||correlation-id||cors||eureka-router||key-auth,citationresolutionservice.{CLOUD_STACK}.{CLOUD_DEV_PHASE}.{CLOUD_ENVIRONMENT}
rics-ui,rics-ui.dev-stable.cc.clarivate.com,/,"/","rics.dev-stable.cc.clarivate.com",false,cors,null
incites-jcr-be-journalprofile-api,clarivate.com,/,"/api/jcr3/journalprofile/.*",null,false,cors||eureka-router||session-validation,incitesjcr3bejournalprofile.wos.{CLOUD_DEV_PHASE}.{CLOUD_ENVIRONMENT}
steam-email-api,clarivate.com,/email/steam/,"/api/email/steam",null,true,acl||eureka-router||key-auth,1pauth.{CLOUD_STACK}.{CLOUD_DEV_PHASE}.{CLOUD_ENVIRONMENT}
platform-media-api,clarivate.com,/media/,"/api/media",null,true,cors||eureka-router,1pmedia.{CLOUD_STACK}.{CLOUD_DEV_PHASE}.{CLOUD_ENVIRONMENT}
dra-td-entity,clarivate.com,/,"/api/dra-td/healthcheck"||"/api/dra/analytics/aggregations"||"/api/dra/analytics/entity/decorator"||"/api/dra/analytics/graphic"||"/api/dra/analytics/related/entities",null,false,auth-extensions||eureka-router||jwt||url-replace,dratdentity.dra.{CLOUD_DEV_PHASE}.{CLOUD_ENVIRONMENT}
wosld-client-api,clarivate.com,/,"/api/wosdashboard",null,false,eureka-router||jwt||url-replace,wosldservice.wos.{CLOUD_DEV_PHASE}.{CLOUD_ENVIRONMENT}
profile-v-two-auth-api,clarivate.com,/,"/api/v2users",null,false,cors||eureka-router||jwt||url-replace,1pprofile.{CLOUD_STACK}.{CLOUD_DEV_PHASE}.{CLOUD_ENVIRONMENT}
wos-recommendation-service,clarivate.com,/,"/api/wosnx/recommend",null,true,acl||correlation-id||cors||eureka-router||key-auth,wosrecommendationservice.{CLOUD_STACK}.{CLOUD_DEV_PHASE}.{CLOUD_ENVIRONMENT}
bridgeclient-api,clarivate.com,/,"/api/bridge",null,false,eureka-router||jwt||url-replace,1pappbridge.{CLOUD_STACK}.{CLOUD_DEV_PHASE}.{CLOUD_ENVIRONMENT}
cortellis-landing-component,clarivate.com,/,"/intelligence/landing",null,true,eureka-router||jwt,cortellislandingcomponent.cortellis.{CLOUD_DEV_PHASE}.{CLOUD_ENVIRONMENT}
